tasks,offlines,repeat,tag,date,init,limit,setup,time,calls
16,0,18,pusty,2007-01-14 11:59:51,2,3,2,0.14,228357
16,0,18,pusty,2007-01-14 11:59:51,3,1,2,0.41,1165060
16,0,18,pusty,2007-01-14 11:59:51,3,2,2,0.16,6738
16,0,18,pusty,2007-01-14 11:59:52,3,3,2,0.17,6738
16,0,19,pusty,2007-01-14 11:59:52,1,1,2,0.43,1923592
16,0,19,pusty,2007-01-14 11:59:53,1,2,2,0.39,631435
16,0,19,pusty,2007-01-14 11:59:53,1,3,2,0.48,631435
16,0,19,pusty,2007-01-14 11:59:53,2,1,2,0.06,328502
16,0,19,pusty,2007-01-14 11:59:53,2,2,2,0.11,169715
16,0,19,pusty,2007-01-14 11:59:54,2,3,2,0.12,169715
16,0,19,pusty,2007-01-14 11:59:54,3,1,2,0.22,227745
16,0,19,pusty,2007-01-14 11:59:54,3,2,2,0.30,117167
16,0,19,pusty,2007-01-14 11:59:55,3,3,2,0.28,117167
16,0,1,pusty,2007-01-14 11:43:18,1,1,2,14.39,74340306
16,0,1,pusty,2007-01-14 11:43:34,1,2,2,15.52,26573029
16,0,1,pusty,2007-01-14 11:43:50,1,3,2,15.93,26573029
16,0,1,pusty,2007-01-14 11:43:55,2,1,2,5.18,26043758
16,0,1,pusty,2007-01-14 11:44:01,2,2,2,5.97,10609321
16,0,1,pusty,2007-01-14 11:44:07,2,3,2,5.85,10609321
16,0,1,pusty,2007-01-14 11:44:08,3,1,2,0.81,3362722
16,0,1,pusty,2007-01-14 11:44:09,3,2,2,0.98,1435726
16,0,1,pusty,2007-01-14 11:44:10,3,3,2,1.00,1435726
16,0,20,pusty,2007-01-14 12:00:00,1,1,2,0.18,888310
16,0,20,pusty,2007-01-14 12:00:01,1,2,2,0.27,446829
16,0,20,pusty,2007-01-14 12:00:01,1,3,2,0.28,446829
16,0,20,pusty,2007-01-14 12:00:01,2,1,2,0.01,56869
16,0,20,pusty,2007-01-14 12:00:01,2,2,2,0.02,29357
16,0,20,pusty,2007-01-14 12:00:01,2,3,2,0.02,29357
16,0,20,pusty,2007-01-14 12:00:01,3,1,2,0.19,75491
16,0,20,pusty,2007-01-14 12:00:02,3,2,2,0.21,40366
16,0,20,pusty,2007-01-14 12:00:02,3,3,2,0.20,40366
16,0,2,pusty,2007-01-14 11:59:56,1,1,2,0.79,3818012
16,0,2,pusty,2007-01-14 11:59:57,1,2,2,1.45,2361036
16,0,2,pusty,2007-01-14 11:59:59,1,3,2,1.53,2361036
16,0,2,pusty,2007-01-14 11:59:59,2,1,2,0.06,285723
16,0,2,pusty,2007-01-14 11:59:59,2,2,2,0.11,194882
16,0,2,pusty,2007-01-14 11:59:59,2,3,2,0.11,194882
16,0,2,pusty,2007-01-14 11:59:59,3,1,2,0.19,66361
16,0,2,pusty,2007-01-14 12:00:00,3,2,2,0.20,43884
16,0,2,pusty,2007-01-14 12:00:00,3,3,2,0.21,43884
16,0,3,pusty,2007-01-14 12:00:06,1,1,2,3.96,20320651
16,0,3,pusty,2007-01-14 12:00:12,1,2,2,5.73,9663060
16,0,3,pusty,2007-01-14 12:00:18,1,3,2,5.90,9663060
16,0,3,pusty,2007-01-14 12:00:18,2,1,2,0.05,345983
16,0,3,pusty,2007-01-14 12:00:18,2,2,2,0.09,194698
16,0,3,pusty,2007-01-14 12:00:18,2,3,2,0.10,194698
16,0,3,pusty,2007-01-14 12:00:19,3,1,2,0.18,140773
16,0,3,pusty,2007-01-14 12:00:19,3,2,2,0.20,80107
16,0,3,pusty,2007-01-14 12:00:19,3,3,2,0.20,80107
16,0,4,pusty,2007-01-14 12:00:19,1,1,2,0.00,11864
16,0,4,pusty,2007-01-14 12:00:19,1,2,2,0.00,7532
16,0,4,pusty,2007-01-14 12:00:20,1,3,2,0.00,7532
16,0,4,pusty,2007-01-14 12:00:20,2,1,2,0.00,2547
16,0,4,pusty,2007-01-14 12:00:20,2,2,2,0.00,1698
16,0,4,pusty,2007-01-14 12:00:20,2,3,2,0.00,1698
16,0,4,pusty,2007-01-14 12:00:20,3,1,2,0.16,17
16,0,4,pusty,2007-01-14 12:00:20,3,2,2,0.16,1
16,0,4,pusty,2007-01-14 12:00:20,3,3,2,0.17,1
16,0,5,pusty,2007-01-14 12:01:21,1,1,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,5,pusty,2007-01-14 12:01:22,1,2,2,1.24,2219214
16,0,5,pusty,2007-01-14 12:01:23,1,3,2,1.49,2219210
16,0,5,pusty,2007-01-14 12:02:23,2,1,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,5,pusty,2007-01-14 12:02:24,2,2,2,0.00,43
16,0,5,pusty,2007-01-14 12:02:24,2,3,2,0.00,28
