tasks,offlines,repeat,tag,date,init,limit,setup,time,calls
10,25,10,pusty,2007-01-07 22:34:16,1,0,2,0.25,1669455
10,25,10,pusty,2007-01-07 22:34:16,1,1,2,0.00,9325
10,25,10,pusty,2007-01-07 22:34:17,1,2,2,0.01,5479
10,25,10,pusty,2007-01-07 22:34:17,1,3,2,0.00,3680
10,25,10,pusty,2007-01-07 22:34:17,2,0,2,0.27,1390861
10,25,10,pusty,2007-01-07 22:34:17,2,1,2,0.00,3028
10,25,10,pusty,2007-01-07 22:34:17,2,2,2,0.00,1529
10,25,10,pusty,2007-01-07 22:34:17,2,3,2,0.00,1172
10,25,10,pusty,2007-01-07 22:34:17,3,0,2,0.24,1390261
10,25,10,pusty,2007-01-07 22:34:17,3,1,2,0.01,2501
10,25,10,pusty,2007-01-07 22:34:17,3,2,2,0.02,1238
10,25,10,pusty,2007-01-07 22:34:17,3,3,2,0.02,902
10,25,10,pusty,2007-01-08 09:03:59,1,0,1,0.28,1669455
10,25,10,pusty,2007-01-08 09:03:59,1,1,1,0.00,9325
10,25,10,pusty,2007-01-08 09:03:59,1,2,1,0.00,5479
10,25,10,pusty,2007-01-08 09:04:00,1,3,1,0.00,3680
10,25,10,pusty,2007-01-08 09:04:00,2,0,1,0.28,1669455
10,25,10,pusty,2007-01-08 09:04:00,2,1,1,0.00,9325
10,25,10,pusty,2007-01-08 09:04:00,2,2,1,0.00,5479
10,25,10,pusty,2007-01-08 09:04:00,2,3,1,0.00,3680
10,25,10,pusty,2007-01-08 09:04:00,3,0,1,0.25,1390261
10,25,10,pusty,2007-01-08 09:04:00,3,1,1,0.01,2501
10,25,10,pusty,2007-01-08 09:04:00,3,2,1,0.02,1238
10,25,10,pusty,2007-01-08 09:04:00,3,3,1,0.01,902
10,25,11,pusty,2007-01-07 22:34:18,1,0,2,0.28,1780550
10,25,11,pusty,2007-01-07 22:34:18,1,1,2,0.00,3305
10,25,11,pusty,2007-01-07 22:34:18,1,2,2,0.00,1776
10,25,11,pusty,2007-01-07 22:34:18,1,3,2,0.00,1768
10,25,11,pusty,2007-01-07 22:34:18,2,0,2,0.17,1065315
10,25,11,pusty,2007-01-07 22:34:18,2,1,2,0.00,1461
10,25,11,pusty,2007-01-07 22:34:18,2,2,2,0.00,890
10,25,11,pusty,2007-01-07 22:34:18,2,3,2,0.00,882
10,25,11,pusty,2007-01-07 22:34:19,3,0,2,0.17,987442
10,25,11,pusty,2007-01-07 22:34:19,3,1,2,0.02,376
10,25,11,pusty,2007-01-07 22:34:19,3,2,2,0.01,243
10,25,11,pusty,2007-01-07 22:34:19,3,3,2,0.02,235
10,25,11,pusty,2007-01-08 09:04:01,1,0,1,0.38,2489639
10,25,11,pusty,2007-01-08 09:04:01,1,1,1,0.00,18743
10,25,11,pusty,2007-01-08 09:04:01,1,2,1,0.00,12356
10,25,11,pusty,2007-01-08 09:04:01,1,3,1,0.00,12348
