tasks,offlines,repeat,tag,date,init,limit,setup,time,calls
14,25,10,pusty,2007-01-07 21:12:12,3,3,1,0.04,7657
14,25,10,pusty,2007-01-07 21:12:12,3,3,2,0.05,7283
14,25,11,pusty,2007-01-07 21:12:12,3,3,1,0.06,47990
14,25,11,pusty,2007-01-07 21:12:12,3,3,2,0.06,44957
14,25,12,pusty,2007-01-07 21:12:15,3,3,1,2.22,3571478
14,25,12,pusty,2007-01-07 21:12:17,3,3,2,2.18,3571478
14,25,13,pusty,2007-01-07 21:12:17,3,3,1,0.06,36906
14,25,13,pusty,2007-01-07 21:12:17,3,3,2,0.07,50936
14,25,14,pusty,2007-01-07 21:12:17,3,3,1,0.04,6037
14,25,14,pusty,2007-01-07 21:12:17,3,3,2,0.04,6037
14,25,15,pusty,2007-01-07 21:12:18,3,3,1,0.04,15
14,25,15,pusty,2007-01-07 21:12:18,3,3,2,0.04,15
14,25,16,pusty,2007-01-07 21:12:18,3,3,1,0.13,192603
14,25,16,pusty,2007-01-07 21:12:18,3,3,2,0.16,195012
14,25,17,pusty,2007-01-07 21:12:18,3,3,1,0.13,153656
14,25,17,pusty,2007-01-07 21:12:18,3,3,2,0.12,153656
14,25,18,pusty,2007-01-07 21:12:18,3,3,1,0.04,13222
14,25,18,pusty,2007-01-07 21:12:19,3,3,2,0.04,11136
14,25,19,pusty,2007-01-07 21:12:19,3,3,1,0.10,99527
14,25,19,pusty,2007-01-07 21:12:19,3,3,2,0.12,99527
14,25,1,pusty,2007-01-07 21:12:12,3,3,1,0.13,117219
14,25,1,pusty,2007-01-07 21:12:12,3,3,2,0.12,96767
14,25,20,pusty,2007-01-07 21:12:20,3,3,1,0.04,6569
14,25,20,pusty,2007-01-07 21:12:20,3,3,2,0.06,6569
14,25,2,pusty,2007-01-07 21:12:19,3,3,1,0.19,215256
14,25,2,pusty,2007-01-07 21:12:19,3,3,2,0.18,207275
14,25,3,pusty,2007-01-07 21:12:20,3,3,1,0.04,13587
14,25,3,pusty,2007-01-07 21:12:20,3,3,2,0.04,14884
14,25,4,pusty,2007-01-07 21:12:20,3,3,1,0.05,21016
14,25,4,pusty,2007-01-07 21:12:20,3,3,2,0.05,19428
14,25,5,pusty,2007-01-07 21:12:20,3,3,1,0.04,14101
14,25,5,pusty,2007-01-07 21:12:20,3,3,2,0.03,78
14,25,6,pusty,2007-01-07 21:12:21,3,3,1,0.19,172557
14,25,6,pusty,2007-01-07 21:12:21,3,3,2,0.14,160466
14,25,7,pusty,2007-01-07 21:12:21,3,3,1,0.04,10433
14,25,7,pusty,2007-01-07 21:12:21,3,3,2,0.04,1734
14,25,8,pusty,2007-01-07 21:12:21,3,3,1,0.03,4972
14,25,8,pusty,2007-01-07 21:12:21,3,3,2,0.04,5543
14,25,9,pusty,2007-01-07 21:12:21,3,3,1,0.25,298773
14,25,9,pusty,2007-01-07 21:12:22,3,3,2,0.24,301514
15,25,10,pusty,2007-01-07 21:12:22,3,3,1,0.05,10397
15,25,10,pusty,2007-01-07 21:12:22,3,3,2,0.05,9666
15,25,11,pusty,2007-01-07 21:12:23,3,3,1,0.07,9765
15,25,11,pusty,2007-01-07 21:12:23,3,3,2,0.05,6833
15,25,12,pusty,2007-01-07 21:12:23,3,3,1,0.26,257340
15,25,12,pusty,2007-01-07 21:12:23,3,3,2,0.13,141205
15,25,13,pusty,2007-01-07 21:12:27,3,3,1,3.28,4879637
15,25,13,pusty,2007-01-07 21:12:28,3,3,2,0.96,1380458
15,25,14,pusty,2007-01-07 21:12:28,3,3,1,0.20,215786
15,25,14,pusty,2007-01-07 21:12:28,3,3,2,0.11,83247
15,25,15,pusty,2007-01-07 21:12:31,3,3,1,2.46,3108229
15,25,15,pusty,2007-01-07 21:12:33,3,3,2,2.17,2846655
15,25,16,pusty,2007-01-07 21:12:35,3,3,1,1.72,1978815
15,25,16,pusty,2007-01-07 21:12:37,3,3,2,1.70,1952064
15,25,17,pusty,2007-01-07 21:12:37,3,3,1,0.12,74583
15,25,17,pusty,2007-01-07 21:12:37,3,3,2,0.10,48258
15,25,18,pusty,2007-01-07 21:12:37,3,3,1,0.34,431006
15,25,18,pusty,2007-01-07 21:12:38,3,3,2,0.19,205670
15,25,19,pusty,2007-01-07 21:12:38,3,3,1,0.06,1
15,25,19,pusty,2007-01-07 21:12:38,3,3,2,0.06,1
15,25,1,pusty,2007-01-07 21:12:22,3,3,1,0.14,145987
15,25,1,pusty,2007-01-07 21:12:22,3,3,2,0.15,78085
15,25,20,pusty,2007-01-07 21:12:39,3,3,1,0.17,108571
15,25,20,pusty,2007-01-07 21:12:39,3,3,2,0.11,51994
