tasks,offlines,repeat,tag,date,init,approx,time,calls
10,25,3,init_best,2007-01-06 17:34:44,3,0,0.62,2533655
10,25,3,init_best,2007-01-06 19:18:12,1,1,0.00,25841
10,25,3,init_best,2007-01-06 19:18:12,2,1,0.00,32803
10,25,3,init_best,2007-01-06 19:18:12,3,1,0.00,4596
10,25,4,init_best,2007-01-06 17:34:45,1,0,0.42,1890523
10,25,4,init_best,2007-01-06 17:34:45,2,0,0.56,2218568
10,25,4,init_best,2007-01-06 17:34:46,3,0,0.36,1322502
10,25,4,init_best,2007-01-06 19:18:12,1,1,0.00,3002
10,25,4,init_best,2007-01-06 19:18:12,2,1,0.00,10648
10,25,4,init_best,2007-01-06 19:18:12,3,1,0.01,944
10,25,5,init_best,2007-01-06 17:34:46,1,0,0.34,1499035
10,25,5,init_best,2007-01-06 17:34:47,2,0,0.47,1810196
10,25,5,init_best,2007-01-06 17:34:47,3,0,0.19,773614
10,25,5,init_best,2007-01-06 19:18:13,1,1,0.02,60331
10,25,5,init_best,2007-01-06 19:18:13,2,1,0.03,72270
10,25,5,init_best,2007-01-06 19:18:13,3,1,0.01,773
10,25,6,init_best,2007-01-06 17:34:48,1,0,1.06,4555460
10,25,6,init_best,2007-01-06 17:34:49,2,0,1.10,4555458
10,25,6,init_best,2007-01-06 17:34:50,3,0,1.00,4300445
10,25,6,init_best,2007-01-06 19:18:13,1,1,0.00,41693
10,25,6,init_best,2007-01-06 19:18:13,2,1,0.02,41688
10,25,6,init_best,2007-01-06 19:18:13,3,1,0.01,14200
10,25,7,init_best,2007-01-06 17:34:51,1,0,0.75,3178389
10,25,7,init_best,2007-01-06 17:34:52,2,0,0.68,3137386
10,25,7,init_best,2007-01-06 17:34:52,3,0,0.49,2072918
10,25,7,init_best,2007-01-06 19:18:13,1,1,0.00,2763
10,25,7,init_best,2007-01-06 19:18:13,2,1,0.00,2763
10,25,7,init_best,2007-01-06 19:18:13,3,1,0.00,1981
10,25,8,init_best,2007-01-06 17:34:53,1,0,0.84,3444110
10,25,8,init_best,2007-01-06 17:34:54,2,0,0.78,3357412
10,25,8,init_best,2007-01-06 17:34:55,3,0,0.56,2230741
10,25,8,init_best,2007-01-06 19:18:13,1,1,0.00,12557
10,25,8,init_best,2007-01-06 19:18:13,2,1,0.00,11093
10,25,8,init_best,2007-01-06 19:18:13,3,1,0.01,3170
10,25,9,init_best,2007-01-06 17:34:56,1,0,1.30,5579589
10,25,9,init_best,2007-01-06 17:34:57,2,0,1.29,5553988
10,25,9,init_best,2007-01-06 17:34:58,3,0,0.95,3868161
10,25,9,init_best,2007-01-06 19:18:13,1,1,0.05,194240
10,25,9,init_best,2007-01-06 19:18:14,2,1,0.05,192032
10,25,9,init_best,2007-01-06 19:18:14,3,1,0.02,26324
11,25,10,init_best,2007-01-06 17:35:17,1,0,4.08,17624165
11,25,10,init_best,2007-01-06 17:35:20,2,0,3.21,13579747
11,25,10,init_best,2007-01-06 17:35:22,3,0,2.15,9106901
11,25,10,init_best,2007-01-06 19:18:14,1,1,0.00,22547
11,25,10,init_best,2007-01-06 19:18:14,2,1,0.00,22339
11,25,10,init_best,2007-01-06 19:18:14,3,1,0.01,1271
11,25,11,init_best,2007-01-06 17:35:27,1,0,4.60,19290563
11,25,11,init_best,2007-01-06 17:35:31,2,0,4.49,18944788
11,25,11,init_best,2007-01-06 17:35:35,3,0,4.02,16922000
11,25,11,init_best,2007-01-06 19:18:14,1,1,0.00,1191
11,25,11,init_best,2007-01-06 19:18:14,2,1,0.00,1191
11,25,11,init_best,2007-01-06 19:18:14,3,1,0.01,202
11,25,12,init_best,2007-01-06 17:35:39,1,0,3.10,13343515
11,25,12,init_best,2007-01-06 17:35:42,2,0,3.43,14925901
11,25,12,init_best,2007-01-06 17:35:45,3,0,2.40,10170374
11,25,12,init_best,2007-01-06 19:18:14,1,1,0.01,18291
11,25,12,init_best,2007-01-06 19:18:14,2,1,0.00,27463
11,25,12,init_best,2007-01-06 19:18:15,3,1,0.02,7729
11,25,13,init_best,2007-01-06 17:35:48,1,0,2.84,12152260
11,25,13,init_best,2007-01-06 17:35:50,2,0,2.82,12152260
11,25,13,init_best,2007-01-06 17:35:53,3,0,2.66,11132255
11,25,13,init_best,2007-01-06 19:18:15,1,1,0.00,10046
11,25,13,init_best,2007-01-06 19:18:15,2,1,0.00,10046
11,25,13,init_best,2007-01-06 19:18:15,3,1,0.02,2366
11,25,14,init_best,2007-01-06 17:36:00,1,0,5.72,24098760
11,25,14,init_best,2007-01-06 17:36:06,2,0,5.77,24098376
11,25,14,init_best,2007-01-06 17:36:10,3,0,4.06,17105370
11,25,14,init_best,2007-01-06 19:18:15,1,1,0.03,104447
11,25,14,init_best,2007-01-06 19:18:15,2,1,0.03,103726
11,25,14,init_best,2007-01-06 19:18:15,3,1,0.01,5641
11,25,15,init_best,2007-01-06 17:36:14,1,0,3.78,16205456
11,25,15,init_best,2007-01-06 17:36:18,2,0,3.83,16204213
11,25,15,init_best,2007-01-06 17:36:21,3,0,3.23,13939539
11,25,15,init_best,2007-01-06 19:18:15,1,1,0.02,75217
11,25,15,init_best,2007-01-06 19:18:15,2,1,0.02,74868
11,25,15,init_best,2007-01-06 19:18:15,3,1,0.01,15688
11,25,16,init_best,2007-01-06 17:36:27,1,0,5.99,24646485
11,25,16,init_best,2007-01-06 17:36:33,2,0,6.08,25344656
11,25,16,init_best,2007-01-06 17:36:35,3,0,1.71,6488233
11,25,16,init_best,2007-01-06 19:18:16,1,1,0.16,357482
11,25,16,init_best,2007-01-06 19:18:16,2,1,0.12,376866
11,25,16,init_best,2007-01-06 19:18:16,3,1,0.01,2391
11,25,17,init_best,2007-01-06 17:36:40,1,0,4.46,18007867
11,25,17,init_best,2007-01-06 17:36:45,2,0,4.72,19233665
11,25,17,init_best,2007-01-06 17:36:48,3,0,2.92,12056289
11,25,17,init_best,2007-01-06 19:18:16,1,1,0.00,3136
11,25,17,init_best,2007-01-06 19:18:16,2,1,0.00,10447
11,25,17,init_best,2007-01-06 19:18:16,3,1,0.01,12
11,25,18,init_best,2007-01-06 17:36:52,1,0,4.63,19813666
11,25,18,init_best,2007-01-06 17:36:57,2,0,4.71,20100610
11,25,18,init_best,2007-01-06 17:37:00,3,0,2.51,10680822
11,25,18,init_best,2007-01-06 19:18:16,1,1,0.00,812
11,25,18,init_best,2007-01-06 19:18:16,2,1,0.00,840
11,25,18,init_best,2007-01-06 19:18:16,3,1,0.02,12
11,25,19,init_best,2007-01-06 17:37:07,1,0,6.90,27263061
11,25,19,init_best,2007-01-06 17:37:13,2,0,6.37,25235258
11,25,19,init_best,2007-01-06 17:37:18,3,0,4.49,17277204
11,25,19,init_best,2007-01-06 19:18:16,1,1,0.02,51043
11,25,19,init_best,2007-01-06 19:18:16,2,1,0.01,38108
11,25,19,init_best,2007-01-06 19:18:16,3,1,0.01,5360
11,25,1,init_best,2007-01-06 17:35:04,1,0,5.21,22138328
11,25,1,init_best,2007-01-06 17:35:09,2,0,5.17,21962082
11,25,1,init_best,2007-01-06 17:35:12,3,0,3.48,14867424
11,25,1,init_best,2007-01-06 19:18:14,1,1,0.02,69155
11,25,1,init_best,2007-01-06 19:18:14,2,1,0.02,54687
11,25,1,init_best,2007-01-06 19:18:14,3,1,0.02,4598
11,25,20,init_best,2007-01-06 17:37:31,1,0,6.96,29208901
11,25,20,init_best,2007-01-06 17:37:38,2,0,6.71,27590565
11,25,20,init_best,2007-01-06 17:37:44,3,0,5.86,24193040
11,25,20,init_best,2007-01-06 19:18:17,1,1,0.02,76819
11,25,20,init_best,2007-01-06 19:18:17,2,1,0.02,76662
11,25,20,init_best,2007-01-06 19:18:17,3,1,0.02,15963
11,25,2,init_best,2007-01-06 17:37:20,1,0,2.52,10776134
11,25,2,init_best,2007-01-06 17:37:23,2,0,2.49,10833187
11,25,2,init_best,2007-01-06 17:37:24,3,0,1.39,5843936
11,25,2,init_best,2007-01-06 19:18:17,1,1,0.00,21865
11,25,2,init_best,2007-01-06 19:18:17,2,1,0.01,22999
11,25,2,init_best,2007-01-06 19:18:17,3,1,0.01,583
11,25,3,init_best,2007-01-06 17:37:45,1,0,1.17,4830174
11,25,3,init_best,2007-01-06 17:37:47,2,0,1.53,6547765
11,25,3,init_best,2007-01-06 17:37:48,3,0,1.05,4130208
11,25,3,init_best,2007-01-06 19:18:17,1,1,0.01,23057
11,25,3,init_best,2007-01-06 19:18:17,2,1,0.02,82940
11,25,3,init_best,2007-01-06 19:18:17,3,1,0.01,3876
11,25,4,init_best,2007-01-06 17:37:54,1,0,6.34,27495803
11,25,4,init_best,2007-01-06 17:38:01,2,0,6.37,27496795
11,25,4,init_best,2007-01-06 17:38:06,3,0,4.68,20167039
11,25,4,init_best,2007-01-06 19:18:17,1,1,0.06,219729
11,25,4,init_best,2007-01-06 19:18:17,2,1,0.06,220078
11,25,4,init_best,2007-01-06 19:18:18,3,1,0.02,47000
11,25,5,init_best,2007-01-06 17:38:13,1,0,7.03,29313415
11,25,5,init_best,2007-01-06 17:38:20,2,0,6.94,29318432
11,25,5,init_best,2007-01-06 17:38:25,3,0,5.06,20906205
11,25,5,init_best,2007-01-06 19:18:18,1,1,0.00,1635
11,25,5,init_best,2007-01-06 19:18:18,2,1,0.00,1656
11,25,5,init_best,2007-01-06 19:18:18,3,1,0.01,12
11,25,6,init_best,2007-01-06 17:38:28,1,0,3.24,13418487
11,25,6,init_best,2007-01-06 17:38:33,2,0,4.30,18227710
11,25,6,init_best,2007-01-06 17:38:35,3,0,2.30,9824547
11,25,6,init_best,2007-01-06 19:18:18,1,1,0.00,22989
11,25,6,init_best,2007-01-06 19:18:18,2,1,0.00,30631
11,25,6,init_best,2007-01-06 19:18:18,3,1,0.01,10019
11,25,7,init_best,2007-01-06 17:38:43,1,0,7.70,32762011
11,25,7,init_best,2007-01-06 17:38:50,2,0,7.63,32762008
11,25,7,init_best,2007-01-06 17:38:56,3,0,5.80,24846451
11,25,7,init_best,2007-01-06 19:18:18,1,1,0.01,35782
11,25,7,init_best,2007-01-06 19:18:18,2,1,0.01,35771
11,25,7,init_best,2007-01-06 19:18:18,3,1,0.03,6711
11,25,8,init_best,2007-01-06 17:38:59,1,0,2.47,10517112
11,25,8,init_best,2007-01-06 17:39:02,2,0,2.58,10794645
11,25,8,init_best,2007-01-06 17:39:03,3,0,1.33,5697424
11,25,8,init_best,2007-01-06 19:18:18,1,1,0.01,43051
11,25,8,init_best,2007-01-06 19:18:18,2,1,0.01,44031
11,25,8,init_best,2007-01-06 19:18:18,3,1,0.02,18514
11,25,9,init_best,2007-01-06 17:39:09,1,0,5.73,23904587
11,25,9,init_best,2007-01-06 17:39:15,2,0,5.77,23904190
11,25,9,init_best,2007-01-06 17:39:19,3,0,4.26,17480524
11,25,9,init_best,2007-01-06 19:18:19,1,1,0.03,109173
11,25,9,init_best,2007-01-06 19:18:19,2,1,0.03,109050
11,25,9,init_best,2007-01-06 19:18:19,3,1,0.03,36152
12,25,10,init_best,2007-01-06 17:41:25,1,0,49.56,210496241
12,25,10,init_best,2007-01-06 17:42:14,2,0,49.01,210496138
12,25,10,init_best,2007-01-06 17:42:52,3,0,37.01,158526673
12,25,10,init_best,2007-01-06 19:18:20,1,1,0.07,251779
12,25,10,init_best,2007-01-06 19:18:20,2,1,0.08,251563
12,25,10,init_best,2007-01-06 19:18:20,3,1,0.03,40593
12,25,11,init_best,2007-01-06 17:43:31,1,0,38.85,167448166
12,25,11,init_best,2007-01-06 17:44:10,2,0,38.99,167422557
12,25,11,init_best,2007-01-06 17:44:38,3,0,27.95,120768855
12,25,11,init_best,2007-01-06 19:18:20,1,1,0.02,83784
12,25,11,init_best,2007-01-06 19:18:20,2,1,0.03,82675
12,25,11,init_best,2007-01-06 19:18:20,3,1,0.02,31857
12,25,12,init_best,2007-01-06 17:45:11,1,0,33.24,142599413
12,25,12,init_best,2007-01-06 17:45:38,2,0,26.76,115103763
12,25,12,init_best,2007-01-06 17:46:02,3,0,23.06,98965738
12,25,12,init_best,2007-01-06 19:18:20,1,1,0.08,267665
12,25,12,init_best,2007-01-06 19:18:20,2,1,0.06,176968
12,25,12,init_best,2007-01-06 19:18:21,3,1,0.12,144001
12,25,13,init_best,2007-01-06 17:46:18,1,0,16.62,69827412
12,25,13,init_best,2007-01-06 17:46:35,2,0,16.65,69827680
12,25,13,init_best,2007-01-06 17:46:51,3,0,15.70,65544025
12,25,13,init_best,2007-01-06 19:18:21,1,1,0.07,208182
12,25,13,init_best,2007-01-06 19:18:21,2,1,0.07,208337
12,25,13,init_best,2007-01-06 19:18:21,3,1,0.04,49613
12,25,14,init_best,2007-01-06 17:47:23,1,0,32.28,137658785
12,25,14,init_best,2007-01-06 17:47:55,2,0,31.40,133960950
12,25,14,init_best,2007-01-06 17:48:22,3,0,26.83,114404245
12,25,14,init_best,2007-01-06 19:18:21,1,1,0.01,22367
12,25,14,init_best,2007-01-06 19:18:21,2,1,0.00,8643
12,25,14,init_best,2007-01-06 19:18:21,3,1,0.02,1598
12,25,15,init_best,2007-01-06 17:48:51,1,0,28.96,125895990
12,25,15,init_best,2007-01-06 17:49:20,2,0,28.97,125986170
12,25,15,init_best,2007-01-06 17:49:37,3,0,16.90,73516616
12,25,15,init_best,2007-01-06 19:18:22,1,1,0.32,995746
12,25,15,init_best,2007-01-06 19:18:22,2,1,0.30,1054109
12,25,15,init_best,2007-01-06 19:18:22,3,1,0.04,62260
12,25,16,init_best,2007-01-06 17:50:09,1,0,31.34,130444302
12,25,16,init_best,2007-01-06 17:50:47,2,0,38.41,160617497
12,25,16,init_best,2007-01-06 17:51:04,3,0,16.23,61672920
12,25,16,init_best,2007-01-06 19:18:22,1,1,0.03,99774
12,25,16,init_best,2007-01-06 19:18:22,2,1,0.06,119063
12,25,16,init_best,2007-01-06 19:18:22,3,1,0.03,19213
12,25,17,init_best,2007-01-06 17:51:29,1,0,24.82,94181824
12,25,17,init_best,2007-01-06 17:51:53,2,0,23.34,94275354
12,25,17,init_best,2007-01-06 17:52:15,3,0,20.39,81455091
12,25,17,init_best,2007-01-06 19:18:22,1,1,0.05,177220
12,25,17,init_best,2007-01-06 19:18:23,2,1,0.06,187136
12,25,17,init_best,2007-01-06 19:18:23,3,1,0.05,74581
12,25,18,init_best,2007-01-06 17:52:58,1,0,42.54,181565089
12,25,18,init_best,2007-01-06 17:53:41,2,0,42.88,181565089
12,25,18,init_best,2007-01-06 17:54:17,3,0,35.40,150609485
12,25,18,init_best,2007-01-06 19:18:23,1,1,0.04,117232
12,25,18,init_best,2007-01-06 19:18:23,2,1,0.03,117234
12,25,18,init_best,2007-01-06 19:18:23,3,1,0.03,32021
12,25,19,init_best,2007-01-06 17:54:44,1,0,27.11,116474894
12,25,19,init_best,2007-01-06 17:55:09,2,0,24.40,104891666
12,25,19,init_best,2007-01-06 17:55:24,3,0,14.90,64253774
12,25,19,init_best,2007-01-06 19:18:23,1,1,0.02,70599
12,25,19,init_best,2007-01-06 19:18:23,2,1,0.01,39932
12,25,19,init_best,2007-01-06 19:18:23,3,1,0.02,4402
12,25,1,init_best,2007-01-06 17:39:47,1,0,28.31,111541930
12,25,1,init_best,2007-01-06 17:40:16,2,0,28.07,111436115
12,25,1,init_best,2007-01-06 17:40:35,3,0,19.57,74778949
12,25,1,init_best,2007-01-06 19:18:19,1,1,0.20,619409
12,25,1,init_best,2007-01-06 19:18:19,2,1,0.20,612778
12,25,1,init_best,2007-01-06 19:18:20,3,1,0.18,344825
12,25,20,init_best,2007-01-06 17:57:47,1,0,39.45,168975345
12,25,20,init_best,2007-01-06 17:58:27,2,0,39.09,168975345
12,25,20,init_best,2007-01-06 17:59:06,3,0,39.12,168897817
12,25,20,init_best,2007-01-06 19:18:24,1,1,0.01,40983
12,25,20,init_best,2007-01-06 19:18:24,2,1,0.01,40983
12,25,20,init_best,2007-01-06 19:18:24,3,1,0.03,27801
12,25,2,init_best,2007-01-06 17:56:00,1,0,36.27,154294405
12,25,2,init_best,2007-01-06 17:56:37,2,0,36.35,154293491
12,25,2,init_best,2007-01-06 17:57:08,3,0,30.96,131661644
12,25,2,init_best,2007-01-06 19:18:23,1,1,0.13,430201
12,25,2,init_best,2007-01-06 19:18:24,2,1,0.18,429519
12,25,2,init_best,2007-01-06 19:18:24,3,1,0.04,59568
12,25,3,init_best,2007-01-06 18:00:06,1,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
12,25,3,init_best,2007-01-06 18:01:02,2,0,55.20,238755222
12,25,3,init_best,2007-01-06 18:01:45,3,0,42.96,185233978
12,25,3,init_best,2007-01-06 19:18:24,1,1,0.23,916512
12,25,3,init_best,2007-01-06 19:18:24,2,1,0.15,336087
12,25,3,init_best,2007-01-06 19:18:25,3,1,0.04,79854
12,25,4,init_best,2007-01-06 18:02:15,1,0,29.49,117585920
12,25,4,init_best,2007-01-06 18:02:41,2,0,25.97,101748375
12,25,4,init_best,2007-01-06 18:03:02,3,0,20.57,79265789
12,25,4,init_best,2007-01-06 19:18:25,1,1,0.10,324947
12,25,4,init_best,2007-01-06 19:18:25,2,1,0.06,167987
12,25,4,init_best,2007-01-06 19:18:25,3,1,0.02,18380
12,25,5,init_best,2007-01-06 18:04:02,1,0,59.77,260221472
12,25,5,init_best,2007-01-06 18:05:02,2,0,59.76,260221472
12,25,5,init_best,2007-01-06 18:05:53,3,0,50.79,220399437
12,25,5,init_best,2007-01-06 19:18:25,1,1,0.00,421
12,25,5,init_best,2007-01-06 19:18:25,2,1,0.00,430
12,25,5,init_best,2007-01-06 19:18:25,3,1,0.02,13
12,25,6,init_best,2007-01-06 18:06:53,1,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
12,25,6,init_best,2007-01-06 18:07:53,2,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
12,25,6,init_best,2007-01-06 18:08:37,3,0,44.37,191967100
12,25,6,init_best,2007-01-06 19:18:25,1,1,0.06,251418
12,25,6,init_best,2007-01-06 19:18:25,2,1,0.02,92737
12,25,6,init_best,2007-01-06 19:18:25,3,1,0.02,13849
12,25,7,init_best,2007-01-06 18:08:53,1,0,15.06,64273072
12,25,7,init_best,2007-01-06 18:09:08,2,0,15.32,65392884
12,25,7,init_best,2007-01-06 18:09:23,3,0,14.26,60712752
12,25,7,init_best,2007-01-06 19:18:26,1,1,0.02,40947
12,25,7,init_best,2007-01-06 19:18:26,2,1,0.01,46862
12,25,7,init_best,2007-01-06 19:18:26,3,1,0.02,9640
12,25,8,init_best,2007-01-06 18:09:45,1,0,22.40,92645963
12,25,8,init_best,2007-01-06 18:10:08,2,0,22.28,92645926
12,25,8,init_best,2007-01-06 18:10:24,3,0,16.25,66407477
12,25,8,init_best,2007-01-06 19:18:26,1,1,0.12,195404
12,25,8,init_best,2007-01-06 19:18:26,2,1,0.06,195358
12,25,8,init_best,2007-01-06 19:18:26,3,1,0.03,36019
12,25,9,init_best,2007-01-06 18:11:10,1,0,46.07,195690387
12,25,9,init_best,2007-01-06 18:11:55,2,0,44.81,189313335
12,25,9,init_best,2007-01-06 18:12:27,3,0,31.10,131526471
12,25,9,init_best,2007-01-06 19:18:26,1,1,0.02,73623
12,25,9,init_best,2007-01-06 19:18:26,2,1,0.02,68155
12,25,9,init_best,2007-01-06 19:18:26,3,1,0.02,19811
13,25,10,init_best,2007-01-06 18:16:27,1,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,10,init_best,2007-01-06 18:17:27,2,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,10,init_best,2007-01-06 18:18:27,3,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,10,init_best,2007-01-06 19:18:27,1,1,0.66,2037004
13,25,10,init_best,2007-01-06 19:18:28,2,1,0.62,2033757
13,25,10,init_best,2007-01-06 19:18:29,3,1,0.45,1446623
13,25,11,init_best,2007-01-06 18:19:27,1,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
