offlines,tasks,repeat,tag,date,tabus,counts,resets,distance,cmax,time
0,30,1,sort i asp,2006-11-21 18:40:34,5,100,1,1,2229,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,5,200,1,1,2229,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,15,50,1,1,2229,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,15,100,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,15,200,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,25,50,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,25,100,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,25,200,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:34,50,50,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:35,50,100,1,1,2185,0.01
0,30,1,sort i asp,2006-11-21 18:40:35,50,200,1,1,2127,0.03
0,30,1,sort i asp,2006-11-21 18:40:35,75,50,1,1,2200,0.00
0,30,1,sort i asp,2006-11-21 18:40:35,75,100,1,1,2200,0.02
0,30,1,sort i asp,2006-11-21 18:40:35,75,200,1,1,2200,0.01
0,30,1,sort i asp,2006-11-21 18:40:35,5,50,1,2,2148,0.01
0,30,1,sort i asp,2006-11-21 18:40:35,5,100,1,2,2148,0.01
0,30,1,sort i asp,2006-11-21 18:40:35,5,200,1,2,2148,0.02
0,30,1,sort i asp,2006-11-21 18:40:35,15,50,1,2,2148,0.01
0,30,1,sort i asp,2006-11-21 18:40:35,15,100,1,2,2111,0.05
0,30,1,sort i asp,2006-11-21 18:40:36,15,200,1,2,2030,0.09
0,30,1,sort i asp,2006-11-21 18:40:36,25,50,1,2,2148,0.02
0,30,1,sort i asp,2006-11-21 18:40:36,25,100,1,2,2109,0.04
0,30,1,sort i asp,2006-11-21 18:40:36,25,200,1,2,2109,0.07
0,30,1,sort i asp,2006-11-21 18:40:36,50,50,1,2,2048,0.08
0,30,1,sort i asp,2006-11-21 18:40:36,50,100,1,2,2048,0.10
0,30,1,sort i asp,2006-11-21 18:40:36,50,200,1,2,2048,0.14
0,30,1,sort i asp,2006-11-21 18:40:37,75,50,1,2,2023,0.10
0,30,1,sort i asp,2006-11-21 18:40:37,75,100,1,2,2023,0.13
0,30,1,sort i asp,2006-11-21 18:40:37,75,200,1,2,2023,0.24
0,30,1,sort i asp,2006-11-21 18:40:37,5,50,1,3,2115,0.02
0,30,1,sort i asp,2006-11-21 18:40:37,5,100,1,3,2005,0.07
0,30,1,sort i asp,2006-11-21 18:40:38,5,200,1,3,1979,0.13
0,30,1,sort i asp,2006-11-21 18:40:38,15,50,1,3,2113,0.04
0,30,1,sort i asp,2006-11-21 18:40:38,15,100,1,3,2113,0.06
0,30,1,sort i asp,2006-11-21 18:40:38,15,200,1,3,2040,0.19
0,30,1,sort i asp,2006-11-21 18:40:38,25,50,1,3,2113,0.05
0,30,1,sort i asp,2006-11-21 18:40:38,25,100,1,3,1991,0.30
0,30,1,sort i asp,2006-11-21 18:40:39,25,200,1,3,1991,0.31
0,30,1,sort i asp,2006-11-21 18:40:39,50,50,1,3,2068,0.12
0,30,1,sort i asp,2006-11-21 18:40:39,50,100,1,3,2068,0.17
0,30,1,sort i asp,2006-11-21 18:40:40,50,200,1,3,2068,0.33
0,30,1,sort i asp,2006-11-21 18:40:40,75,50,1,3,2045,0.23
0,30,1,sort i asp,2006-11-21 18:40:41,75,100,1,3,2022,0.60
0,30,1,sort i asp,2006-11-21 18:40:42,75,200,1,3,1992,1.28
0,30,1,sort i asp,2006-11-21 18:40:42,5,50,1,5,1996,0.07
0,30,1,sort i asp,2006-11-21 18:40:42,5,100,1,5,1996,0.15
0,30,1,sort i asp,2006-11-21 18:40:43,5,200,1,5,1996,0.12
0,30,1,sort i asp,2006-11-21 18:40:43,15,50,1,5,1978,0.14
0,30,1,sort i asp,2006-11-21 18:40:43,15,100,1,5,1978,0.24
0,30,1,sort i asp,2006-11-21 18:40:44,15,200,1,5,1975,0.44
0,30,1,sort i asp,2006-11-21 18:40:44,25,50,1,5,1978,0.20
0,30,1,sort i asp,2006-11-21 18:40:44,25,100,1,5,1978,0.23
0,30,1,sort i asp,2006-11-21 18:40:45,25,200,1,5,1967,0.70
0,30,1,sort i asp,2006-11-21 18:40:45,50,50,1,5,1978,0.29
0,30,1,sort i asp,2006-11-21 18:40:46,50,100,1,5,1978,0.44
0,30,1,sort i asp,2006-11-21 18:40:48,50,200,1,5,1951,1.83
0,30,1,sort i asp,2006-11-21 18:40:48,75,50,1,5,1978,0.36
0,30,1,sort i asp,2006-11-21 18:40:49,75,100,1,5,1978,0.65
0,30,1,sort i asp,2006-11-21 18:40:51,75,200,1,5,1946,2.16
0,30,2,sort i asp,2006-11-21 18:40:23,0,0,1,1,2524,0.01
0,30,2,sort i asp,2006-11-21 18:40:23,0,0,1,2,2439,0.01
0,30,2,sort i asp,2006-11-21 18:40:23,0,0,1,3,2413,0.02
0,30,2,sort i asp,2006-11-21 18:40:23,0,0,1,5,2369,0.04
0,30,2,sort i asp,2006-11-21 18:41:06,5,50,1,1,2524,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,5,100,1,1,2524,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,5,200,1,1,2524,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,15,50,1,1,2524,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,15,100,1,1,2516,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,15,200,1,1,2504,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,25,50,1,1,2516,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,25,100,1,1,2506,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,25,200,1,1,2506,0.01
0,30,2,sort i asp,2006-11-21 18:41:06,50,50,1,1,2516,0.00
0,30,2,sort i asp,2006-11-21 18:41:06,50,100,1,1,2516,0.00
0,30,2,sort i asp,2006-11-21 18:41:07,50,200,1,1,2496,0.02
0,30,2,sort i asp,2006-11-21 18:41:07,75,50,1,1,2516,0.00
0,30,2,sort i asp,2006-11-21 18:41:07,75,100,1,1,2516,0.01
0,30,2,sort i asp,2006-11-21 18:41:07,75,200,1,1,2516,0.02
0,30,2,sort i asp,2006-11-21 18:41:07,5,50,1,2,2414,0.01
0,30,2,sort i asp,2006-11-21 18:41:07,5,100,1,2,2414,0.02
0,30,2,sort i asp,2006-11-21 18:41:07,5,200,1,2,2414,0.02
0,30,2,sort i asp,2006-11-21 18:41:07,15,50,1,2,2414,0.01
0,30,2,sort i asp,2006-11-21 18:41:07,15,100,1,2,2414,0.03
0,30,2,sort i asp,2006-11-21 18:41:07,15,200,1,2,2414,0.04
0,30,2,sort i asp,2006-11-21 18:41:07,25,50,1,2,2414,0.02
0,30,2,sort i asp,2006-11-21 18:41:07,25,100,1,2,2414,0.03
0,30,2,sort i asp,2006-11-21 18:41:08,25,200,1,2,2414,0.05
0,30,2,sort i asp,2006-11-21 18:41:08,50,50,1,2,2414,0.03
0,30,2,sort i asp,2006-11-21 18:41:08,50,100,1,2,2414,0.05
0,30,2,sort i asp,2006-11-21 18:41:08,50,200,1,2,2414,0.09
0,30,2,sort i asp,2006-11-21 18:41:08,75,50,1,2,2414,0.05
0,30,2,sort i asp,2006-11-21 18:41:08,75,100,1,2,2414,0.07
0,30,2,sort i asp,2006-11-21 18:41:08,75,200,1,2,2414,0.13
0,30,2,sort i asp,2006-11-21 18:41:09,5,50,1,3,2413,0.02
0,30,2,sort i asp,2006-11-21 18:41:09,5,100,1,3,2413,0.03
0,30,2,sort i asp,2006-11-21 18:41:09,5,200,1,3,2413,0.04
0,30,2,sort i asp,2006-11-21 18:41:09,15,50,1,3,2413,0.03
0,30,2,sort i asp,2006-11-21 18:41:09,15,100,1,3,2413,0.05
0,30,2,sort i asp,2006-11-21 18:41:09,15,200,1,3,2403,0.18
0,30,2,sort i asp,2006-11-21 18:41:09,25,50,1,3,2413,0.04
0,30,2,sort i asp,2006-11-21 18:41:09,25,100,1,3,2413,0.07
0,30,2,sort i asp,2006-11-21 18:41:10,25,200,1,3,2369,0.34
0,30,2,sort i asp,2006-11-21 18:41:10,50,50,1,3,2392,0.12
0,30,2,sort i asp,2006-11-21 18:41:10,50,100,1,3,2392,0.18
0,30,2,sort i asp,2006-11-21 18:41:11,50,200,1,3,2392,0.30
0,30,2,sort i asp,2006-11-21 18:41:11,75,50,1,3,2392,0.16
0,30,2,sort i asp,2006-11-21 18:41:11,75,100,1,3,2392,0.24
0,30,2,sort i asp,2006-11-21 18:41:12,75,200,1,3,2366,0.78
0,30,2,sort i asp,2006-11-21 18:41:12,5,50,1,5,2369,0.05
0,30,2,sort i asp,2006-11-21 18:41:12,5,100,1,5,2369,0.07
0,30,2,sort i asp,2006-11-21 18:41:13,5,200,1,5,2369,0.10
0,30,2,sort i asp,2006-11-21 18:41:13,15,50,1,5,2369,0.09
0,30,2,sort i asp,2006-11-21 18:41:13,15,100,1,5,2369,0.14
0,30,2,sort i asp,2006-11-21 18:41:13,15,200,1,5,2369,0.24
0,30,2,sort i asp,2006-11-21 18:41:13,25,50,1,5,2369,0.12
0,30,2,sort i asp,2006-11-21 18:41:14,25,100,1,5,2369,0.21
0,30,2,sort i asp,2006-11-21 18:41:14,25,200,1,5,2358,0.58
0,30,2,sort i asp,2006-11-21 18:41:15,50,50,1,5,2369,0.21
0,30,2,sort i asp,2006-11-21 18:41:15,50,100,1,5,2369,0.40
0,30,2,sort i asp,2006-11-21 18:41:16,50,200,1,5,2369,0.74
0,30,2,sort i asp,2006-11-21 18:41:16,75,50,1,5,2369,0.29
0,30,2,sort i asp,2006-11-21 18:41:17,75,100,1,5,2369,0.55
0,30,2,sort i asp,2006-11-21 18:41:19,75,200,1,5,2348,2.17
0,30,3,sort i asp,2006-11-21 18:40:23,0,0,1,1,2407,0.00
0,30,3,sort i asp,2006-11-21 18:40:23,0,0,1,2,2358,0.00
0,30,3,sort i asp,2006-11-21 18:40:23,0,0,1,3,2334,0.01
0,30,3,sort i asp,2006-11-21 18:40:24,0,0,1,5,2271,0.03
0,30,3,sort i asp,2006-11-21 18:41:19,5,50,1,1,2407,0.00
0,30,3,sort i asp,2006-11-21 18:41:19,5,100,1,1,2407,0.00
0,30,3,sort i asp,2006-11-21 18:41:19,5,200,1,1,2407,0.00
0,30,3,sort i asp,2006-11-21 18:41:19,15,50,1,1,2407,0.00
0,30,3,sort i asp,2006-11-21 18:41:20,15,100,1,1,2407,0.00
0,30,3,sort i asp,2006-11-21 18:41:20,15,200,1,1,2336,0.02
0,30,3,sort i asp,2006-11-21 18:41:20,25,50,1,1,2407,0.00
0,30,3,sort i asp,2006-11-21 18:41:20,25,100,1,1,2374,0.01
0,30,3,sort i asp,2006-11-21 18:41:20,25,200,1,1,2359,0.01
0,30,3,sort i asp,2006-11-21 18:41:20,50,50,1,1,2345,0.00
0,30,3,sort i asp,2006-11-21 18:41:20,50,100,1,1,2345,0.01
0,30,3,sort i asp,2006-11-21 18:41:20,50,200,1,1,2345,0.02
0,30,3,sort i asp,2006-11-21 18:41:20,75,50,1,1,2348,0.01
0,30,3,sort i asp,2006-11-21 18:41:20,75,100,1,1,2348,0.01
0,30,3,sort i asp,2006-11-21 18:41:20,75,200,1,1,2348,0.02
0,30,3,sort i asp,2006-11-21 18:41:20,5,50,1,2,2358,0.01
0,30,3,sort i asp,2006-11-21 18:41:21,5,100,1,2,2314,0.01
0,30,3,sort i asp,2006-11-21 18:41:21,5,200,1,2,2314,0.02
0,30,3,sort i asp,2006-11-21 18:41:21,15,50,1,2,2314,0.02
0,30,3,sort i asp,2006-11-21 18:41:21,15,100,1,2,2314,0.02
0,30,3,sort i asp,2006-11-21 18:41:21,15,200,1,2,2314,0.03
0,30,3,sort i asp,2006-11-21 18:41:21,25,50,1,2,2314,0.02
0,30,3,sort i asp,2006-11-21 18:41:21,25,100,1,2,2265,0.07
0,30,3,sort i asp,2006-11-21 18:41:21,25,200,1,2,2265,0.09
0,30,3,sort i asp,2006-11-21 18:41:21,50,50,1,2,2314,0.04
0,30,3,sort i asp,2006-11-21 18:41:22,50,100,1,2,2301,0.07
0,30,3,sort i asp,2006-11-21 18:41:22,50,200,1,2,2301,0.12
0,30,3,sort i asp,2006-11-21 18:41:22,75,50,1,2,2279,0.09
0,30,3,sort i asp,2006-11-21 18:41:22,75,100,1,2,2279,0.12
0,30,3,sort i asp,2006-11-21 18:41:22,75,200,1,2,2279,0.19
0,30,3,sort i asp,2006-11-21 18:41:22,5,50,1,3,2334,0.02
0,30,3,sort i asp,2006-11-21 18:41:23,5,100,1,3,2278,0.04
0,30,3,sort i asp,2006-11-21 18:41:23,5,200,1,3,2275,0.07
0,30,3,sort i asp,2006-11-21 18:41:23,15,50,1,3,2275,0.04
0,30,3,sort i asp,2006-11-21 18:41:23,15,100,1,3,2275,0.07
0,30,3,sort i asp,2006-11-21 18:41:23,15,200,1,3,2272,0.15
0,30,3,sort i asp,2006-11-21 18:41:23,25,50,1,3,2275,0.06
0,30,3,sort i asp,2006-11-21 18:41:23,25,100,1,3,2251,0.13
0,30,3,sort i asp,2006-11-21 18:41:24,25,200,1,3,2251,0.18
0,30,3,sort i asp,2006-11-21 18:41:24,50,50,1,3,2275,0.08
0,30,3,sort i asp,2006-11-21 18:41:24,50,100,1,3,2275,0.14
0,30,3,sort i asp,2006-11-21 18:41:24,50,200,1,3,2275,0.31
0,30,3,sort i asp,2006-11-21 18:41:25,75,50,1,3,2275,0.11
0,30,3,sort i asp,2006-11-21 18:41:25,75,100,1,3,2275,0.19
0,30,3,sort i asp,2006-11-21 18:41:26,75,200,1,3,2264,0.64
0,30,3,sort i asp,2006-11-21 18:41:26,5,50,1,5,2268,0.05
0,30,3,sort i asp,2006-11-21 18:41:26,5,100,1,5,2264,0.09
0,30,3,sort i asp,2006-11-21 18:41:26,5,200,1,5,2260,0.18
0,30,3,sort i asp,2006-11-21 18:41:26,15,50,1,5,2239,0.18
0,30,3,sort i asp,2006-11-21 18:41:27,15,100,1,5,2239,0.22
0,30,3,sort i asp,2006-11-21 18:41:27,15,200,1,5,2239,0.32
0,30,3,sort i asp,2006-11-21 18:41:27,25,50,1,5,2239,0.20
0,30,3,sort i asp,2006-11-21 18:41:28,25,100,1,5,2239,0.29
0,30,3,sort i asp,2006-11-21 18:41:28,25,200,1,5,2239,0.47
0,30,3,sort i asp,2006-11-21 18:41:29,50,50,1,5,2239,0.29
0,30,3,sort i asp,2006-11-21 18:41:29,50,100,1,5,2239,0.47
0,30,3,sort i asp,2006-11-21 18:41:30,50,200,1,5,2239,0.82
0,30,3,sort i asp,2006-11-21 18:41:31,75,50,1,5,2239,0.38
0,30,3,sort i asp,2006-11-21 18:41:31,75,100,1,5,2239,0.64
0,30,3,sort i asp,2006-11-21 18:41:32,75,200,1,5,2239,1.17
0,30,4,sort i asp,2006-11-21 18:40:24,0,0,1,1,2244,0.00
0,30,4,sort i asp,2006-11-21 18:40:24,0,0,1,2,2231,0.01
0,30,4,sort i asp,2006-11-21 18:40:24,0,0,1,3,2199,0.02
0,30,4,sort i asp,2006-11-21 18:40:24,0,0,1,5,2198,0.03
0,30,4,sort i asp,2006-11-21 18:41:33,5,50,1,1,2244,0.00
0,30,4,sort i asp,2006-11-21 18:41:33,5,100,1,1,2244,0.00
0,30,4,sort i asp,2006-11-21 18:41:33,5,200,1,1,2240,0.00
0,30,4,sort i asp,2006-11-21 18:41:33,15,50,1,1,2240,0.00
0,30,4,sort i asp,2006-11-21 18:41:33,15,100,1,1,2234,0.00
0,30,4,sort i asp,2006-11-21 18:41:33,15,200,1,1,2234,0.00
0,30,4,sort i asp,2006-11-21 18:41:33,25,50,1,1,2234,0.01
0,30,4,sort i asp,2006-11-21 18:41:33,25,100,1,1,2234,0.01
0,30,4,sort i asp,2006-11-21 18:41:33,25,200,1,1,2234,0.00
0,30,4,sort i asp,2006-11-21 18:41:33,50,50,1,1,2234,0.00
0,30,4,sort i asp,2006-11-21 18:41:33,50,100,1,1,2234,0.01
0,30,4,sort i asp,2006-11-21 18:41:33,50,200,1,1,2234,0.01
0,30,4,sort i asp,2006-11-21 18:41:33,75,50,1,1,2234,0.00
0,30,4,sort i asp,2006-11-21 18:41:34,75,100,1,1,2234,0.00
0,30,4,sort i asp,2006-11-21 18:41:34,75,200,1,1,2234,0.01
0,30,4,sort i asp,2006-11-21 18:41:34,5,50,1,2,2217,0.02
0,30,4,sort i asp,2006-11-21 18:41:34,5,100,1,2,2217,0.02
0,30,4,sort i asp,2006-11-21 18:41:34,5,200,1,2,2217,0.02
0,30,4,sort i asp,2006-11-21 18:41:34,15,50,1,2,2215,0.02
0,30,4,sort i asp,2006-11-21 18:41:34,15,100,1,2,2215,0.03
0,30,4,sort i asp,2006-11-21 18:41:34,15,200,1,2,2215,0.04
0,30,4,sort i asp,2006-11-21 18:41:34,25,50,1,2,2215,0.03
0,30,4,sort i asp,2006-11-21 18:41:34,25,100,1,2,2194,0.07
0,30,4,sort i asp,2006-11-21 18:41:35,25,200,1,2,2194,0.09
0,30,4,sort i asp,2006-11-21 18:41:35,50,50,1,2,2215,0.06
0,30,4,sort i asp,2006-11-21 18:41:35,50,100,1,2,2215,0.06
0,30,4,sort i asp,2006-11-21 18:41:35,50,200,1,2,2215,0.10
0,30,4,sort i asp,2006-11-21 18:41:35,75,50,1,2,2215,0.05
0,30,4,sort i asp,2006-11-21 18:41:35,75,100,1,2,2215,0.08
0,30,4,sort i asp,2006-11-21 18:41:36,75,200,1,2,2179,0.31
0,30,4,sort i asp,2006-11-21 18:41:36,5,50,1,3,2176,0.02
0,30,4,sort i asp,2006-11-21 18:41:36,5,100,1,3,2176,0.04
0,30,4,sort i asp,2006-11-21 18:41:36,5,200,1,3,2176,0.04
0,30,4,sort i asp,2006-11-21 18:41:36,15,50,1,3,2167,0.08
0,30,4,sort i asp,2006-11-21 18:41:36,15,100,1,3,2167,0.08
0,30,4,sort i asp,2006-11-21 18:41:37,15,200,1,3,2149,0.19
0,30,4,sort i asp,2006-11-21 18:41:37,25,50,1,3,2164,0.09
0,30,4,sort i asp,2006-11-21 18:41:37,25,100,1,3,2164,0.12
0,30,4,sort i asp,2006-11-21 18:41:37,25,200,1,3,2164,0.17
0,30,4,sort i asp,2006-11-21 18:41:37,50,50,1,3,2168,0.09
0,30,4,sort i asp,2006-11-21 18:41:38,50,100,1,3,2168,0.15
0,30,4,sort i asp,2006-11-21 18:41:38,50,200,1,3,2168,0.26
0,30,4,sort i asp,2006-11-21 18:41:38,75,50,1,3,2168,0.12
0,30,4,sort i asp,2006-11-21 18:41:38,75,100,1,3,2168,0.20
0,30,4,sort i asp,2006-11-21 18:41:39,75,200,1,3,2168,0.38
0,30,4,sort i asp,2006-11-21 18:41:39,5,50,1,5,2191,0.07
0,30,4,sort i asp,2006-11-21 18:41:39,5,100,1,5,2184,0.17
0,30,4,sort i asp,2006-11-21 18:41:39,5,200,1,5,2184,0.20
0,30,4,sort i asp,2006-11-21 18:41:40,15,50,1,5,2185,0.13
0,30,4,sort i asp,2006-11-21 18:41:40,15,100,1,5,2185,0.18
0,30,4,sort i asp,2006-11-21 18:41:41,15,200,1,5,2157,0.56
0,30,4,sort i asp,2006-11-21 18:41:41,25,50,1,5,2185,0.16
0,30,4,sort i asp,2006-11-21 18:41:41,25,100,1,5,2158,0.52
0,30,4,sort i asp,2006-11-21 18:41:43,25,200,1,5,2142,1.14
0,30,4,sort i asp,2006-11-21 18:41:43,50,50,1,5,2162,0.42
0,30,4,sort i asp,2006-11-21 18:41:44,50,100,1,5,2162,0.59
0,30,4,sort i asp,2006-11-21 18:41:45,50,200,1,5,2162,0.99
0,30,4,sort i asp,2006-11-21 18:41:45,75,50,1,5,2162,0.51
0,30,4,sort i asp,2006-11-21 18:41:46,75,100,1,5,2162,0.82
0,30,4,sort i asp,2006-11-21 18:41:48,75,200,1,5,2162,1.29
0,30,5,sort i asp,2006-11-21 18:40:24,0,0,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:40:24,0,0,1,2,2623,0.00
0,30,5,sort i asp,2006-11-21 18:40:24,0,0,1,3,2604,0.02
0,30,5,sort i asp,2006-11-21 18:40:24,0,0,1,5,2607,0.03
0,30,5,sort i asp,2006-11-21 18:41:48,5,50,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:48,5,100,1,1,2655,0.01
0,30,5,sort i asp,2006-11-21 18:41:48,5,200,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:48,15,50,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:48,15,100,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:48,15,200,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:48,25,50,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:48,25,100,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:48,25,200,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:48,50,50,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:48,50,100,1,1,2655,0.01
