tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time,cmax_min
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:47,30,500,1,1,4412,0.17,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:47,30,500,1,2,4287,0.49,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:48,30,500,1,3,4248,0.82,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:50,30,500,1,4,4370,1.16,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:51,30,500,1,5,4256,1.40,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:53,30,500,1,6,4249,1.75,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:55,30,500,1,7,4257,2.01,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:58,30,500,1,8,4211,2.32,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:00,30,500,1,9,4276,2.60,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:03,30,500,1,10,4206,2.91,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:07,30,500,1,11,4231,3.08,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:10,30,500,1,12,4156,3.43,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:14,30,500,1,13,4204,3.66,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:18,30,500,1,14,4125,3.93,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:22,30,500,1,15,4189,4.15,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:29,30,500,1,1,4412,0.16,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:29,30,500,1,3,4390,0.44,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:30,30,500,1,5,4297,0.79,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:31,30,500,1,7,4157,1.08,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:33,30,500,1,9,4261,1.39,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:34,30,500,1,11,4184,1.64,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:36,30,500,1,13,4153,1.88,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:39,30,500,1,15,4135,2.21,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:41,30,500,1,17,4134,2.41,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:44,30,500,1,19,4120,2.64,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:47,30,500,1,21,4132,2.87,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:50,30,500,1,23,4089,2.98,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:53,30,500,1,25,4136,3.17,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:57,30,500,1,27,4099,3.32,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:36:01,30,500,1,29,4126,3.54,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:39,45,500,1,1,4485,0.16,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:39,60,500,1,1,4492,0.16,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:40,45,500,1,2,4281,0.51,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:41,60,500,1,2,4467,0.47,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:42,45,500,1,3,4346,0.80,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:42,60,500,1,3,4354,0.79,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:44,45,500,1,4,4271,1.17,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:45,60,500,1,4,4242,1.10,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:46,45,500,1,5,4362,1.44,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:48,60,500,1,5,4372,1.36,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:50,45,500,1,6,4303,1.77,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:52,60,500,1,6,4350,1.72,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:54,45,500,1,7,4251,2.04,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:56,60,500,1,7,4307,1.99,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:41:58,45,500,1,8,4474,2.19,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:01,60,500,1,8,4273,2.30,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:03,45,500,1,9,4189,2.58,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:06,60,500,1,9,4189,2.55,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:09,45,500,1,10,4224,2.82,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:12,60,500,1,10,4224,2.86,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:15,45,500,1,11,4287,3.09,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:18,60,500,1,11,4248,3.10,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:22,45,500,1,12,4168,3.40,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:25,60,500,1,12,4168,3.38,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:29,45,500,1,13,4250,3.69,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:33,60,500,1,13,4250,3.62,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:37,45,500,1,14,4125,3.91,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:41,60,500,1,14,4125,3.88,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:45,45,500,1,15,4189,4.18,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 14:42:50,60,500,1,15,4189,4.20,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:04:55,45,500,1,1,4485,0.15,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:04:55,60,500,1,1,4492,0.15,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:04:56,45,500,1,3,4364,0.45,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:04:56,60,500,1,3,4250,0.46,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:04:57,45,500,1,5,4311,0.76,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:04:58,60,500,1,5,4415,0.71,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:04:59,45,500,1,7,4196,1.15,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:01,60,500,1,7,4192,1.06,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:02,45,500,1,9,4201,1.45,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:04,60,500,1,9,4177,1.35,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:05,45,500,1,11,4206,1.61,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:07,60,500,1,11,4206,1.60,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:09,45,500,1,13,4172,1.93,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:11,60,500,1,13,4172,1.88,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:13,45,500,1,15,4135,2.15,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:16,60,500,1,15,4135,2.20,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:18,45,500,1,17,4192,2.32,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:21,60,500,1,17,4192,2.39,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:23,45,500,1,19,4120,2.60,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:26,60,500,1,19,4120,2.62,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:29,45,500,1,21,4163,2.82,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:32,60,500,1,21,4163,2.81,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:35,45,500,1,23,4089,2.96,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:38,60,500,1,23,4089,2.99,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:41,45,500,1,25,4136,3.12,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:45,60,500,1,25,4136,3.14,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:48,45,500,1,27,4099,3.26,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:52,60,500,1,27,4099,3.30,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:55,45,500,1,29,4126,3.43,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 15:05:59,60,500,1,29,4126,3.49,4089
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:23,30,500,1,1,4233,0.15,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:23,30,500,1,2,4145,0.48,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:24,30,500,1,3,4073,0.81,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:25,30,500,1,4,3971,1.12,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:27,30,500,1,5,3929,1.46,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:29,30,500,1,6,3952,1.77,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:31,30,500,1,7,3977,2.07,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:33,30,500,1,8,4020,2.30,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:36,30,500,1,9,3915,2.65,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:39,30,500,1,10,3922,2.90,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:42,30,500,1,11,3866,3.16,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:46,30,500,1,12,3851,3.46,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:50,30,500,1,13,3894,3.63,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:54,30,500,1,14,3986,3.90,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:58,30,500,1,15,3869,4.18,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:01,30,500,1,1,4233,0.13,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:01,30,500,1,3,4118,0.48,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:02,30,500,1,5,4112,0.74,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:03,30,500,1,7,3974,1.06,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:05,30,500,1,9,4019,1.29,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:07,30,500,1,11,3881,1.50,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:09,30,500,1,13,3900,1.82,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:11,30,500,1,15,3906,2.08,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:13,30,500,1,17,3876,2.26,3833
