tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time,cmax_min
50,10,10,test tabulisty,2006-11-23 15:19:51,0,25,1,3,4195,0.34,3939
50,10,10,test tabulisty,2006-11-23 15:19:52,0,50,1,3,4195,0.55,3939
50,10,10,test tabulisty,2006-11-23 15:19:53,0,75,1,3,4195,0.78,3939
50,10,10,test tabulisty,2006-11-23 15:19:53,20,25,1,3,4195,0.34,3939
50,10,10,test tabulisty,2006-11-23 15:19:54,20,50,1,3,4193,0.82,3939
50,10,10,test tabulisty,2006-11-23 15:19:55,20,75,1,3,4193,1.02,3939
50,10,10,test tabulisty,2006-11-23 15:19:56,40,25,1,3,4195,0.34,3939
50,10,10,test tabulisty,2006-11-23 15:19:57,40,50,1,3,4100,1.04,3939
50,10,10,test tabulisty,2006-11-23 15:19:59,40,75,1,3,3939,2.53,3939
50,10,10,test tabulisty,2006-11-23 15:20:00,60,25,1,3,4195,0.37,3939
50,10,10,test tabulisty,2006-11-23 15:20:01,60,50,1,3,4090,1.44,3939
50,10,10,test tabulisty,2006-11-23 15:20:03,60,75,1,3,4090,1.60,3939
50,10,10,test tabulisty,2006-11-23 15:20:04,80,25,1,3,4195,0.34,3939
50,10,10,test tabulisty,2006-11-23 15:20:05,80,50,1,3,4050,1.43,3939
50,10,10,test tabulisty,2006-11-23 15:20:07,80,75,1,3,4050,1.58,3939
50,10,10,test tabulisty,2006-11-23 15:20:07,100,25,1,3,4195,0.32,3939
50,10,10,test tabulisty,2006-11-23 15:20:09,100,50,1,3,4097,1.31,3939
50,10,10,test tabulisty,2006-11-23 15:20:10,100,75,1,3,4097,1.44,3939
50,10,10,test tabulisty,2006-11-23 15:20:11,120,25,1,3,4195,0.32,3939
50,10,10,test tabulisty,2006-11-23 15:20:12,120,50,1,3,4097,1.26,3939
50,10,10,test tabulisty,2006-11-23 15:20:14,120,75,1,3,4097,1.45,3939
50,10,10,test tabulisty,2006-11-23 15:20:14,140,25,1,3,4195,0.33,3939
50,10,10,test tabulisty,2006-11-23 15:20:16,140,50,1,3,4097,1.30,3939
50,10,10,test tabulisty,2006-11-23 15:20:17,140,75,1,3,4097,1.49,3939
50,10,10,test tabulisty,2006-11-23 15:20:18,160,25,1,3,4195,0.32,3939
50,10,10,test tabulisty,2006-11-23 15:20:19,160,50,1,3,4097,1.30,3939
50,10,10,test tabulisty,2006-11-23 15:20:21,160,75,1,3,4097,1.47,3939
50,10,10,test tabulisty,2006-11-23 15:20:21,180,25,1,3,4195,0.30,3939
50,10,10,test tabulisty,2006-11-23 15:20:23,180,50,1,3,4097,1.34,3939
50,10,10,test tabulisty,2006-11-23 15:20:24,180,75,1,3,4097,1.53,3939
50,10,10,test tabulisty,2006-11-23 15:20:25,200,25,1,3,4195,0.29,3939
50,10,10,test tabulisty,2006-11-23 15:20:26,200,50,1,3,4097,1.25,3939
50,10,10,test tabulisty,2006-11-23 15:20:28,200,75,1,3,4097,1.46,3939
50,10,10,test tabulisty,2006-11-23 15:29:07,0,0,1,3,4195,0.13,3939
50,10,10,test tabulisty,2006-11-23 15:29:07,0,10,1,3,4195,0.21,3939
