tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time,cmax_min
20,20,10,Move Tabulist,2006-11-26 23:56:21,100,90,1,5,1550,0.03,1538
20,20,10,Move Tabulist,2006-11-26 23:56:22,100,100,1,5,1545,0.03,1538
20,20,10,Move Tabulist,2006-11-26 23:56:22,100,110,1,5,1545,0.04,1538
20,20,10,Move Tabulist,2006-11-26 23:56:22,100,120,1,5,1545,0.04,1538
20,20,10,Move Tabulist,2006-11-26 23:56:22,110,80,1,5,1581,0.02,1538
20,20,10,Move Tabulist,2006-11-26 23:56:22,110,90,1,5,1554,0.03,1538
20,20,10,Move Tabulist,2006-11-26 23:56:22,110,100,1,5,1554,0.03,1538
20,20,10,Move Tabulist,2006-11-26 23:56:22,110,110,1,5,1554,0.04,1538
20,20,10,Move Tabulist,2006-11-26 23:56:23,110,120,1,5,1545,0.04,1538
20,20,10,Move Tabulist,2006-11-26 23:56:23,120,80,1,5,1581,0.02,1538
20,20,10,Move Tabulist,2006-11-26 23:56:23,120,90,1,5,1581,0.03,1538
20,20,10,Move Tabulist,2006-11-26 23:56:23,120,100,1,5,1581,0.03,1538
20,20,10,Move Tabulist,2006-11-26 23:56:23,120,110,1,5,1581,0.04,1538
20,20,10,Move Tabulist,2006-11-26 23:56:23,120,120,1,5,1581,0.04,1538
20,20,10,Move Tabulist,2006-11-27 00:52:44,70,70,1,1,1718,0.00,1538
20,20,10,Move Tabulist,2006-11-27 00:52:44,70,130,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-27 00:52:44,130,70,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-27 00:52:44,130,130,1,1,1698,0.00,1538
20,20,10,Move Tabulist,2006-11-27 00:52:44,70,70,1,3,1610,0.00,1538
20,20,10,Move Tabulist,2006-11-27 00:52:44,70,130,1,3,1598,0.00,1538
20,20,10,Move Tabulist,2006-11-27 00:52:44,130,70,1,3,1538,0.01,1538
20,20,10,Move Tabulist,2006-11-27 00:52:44,130,130,1,3,1538,0.01,1538
20,20,10,Move Tabulist,2006-11-27 00:52:44,70,70,1,5,1592,0.01,1538
20,20,10,Move Tabulist,2006-11-27 00:52:45,70,130,1,5,1562,0.02,1538
20,20,10,Move Tabulist,2006-11-27 00:52:45,130,70,1,5,1581,0.02,1538
20,20,10,Move Tabulist,2006-11-27 00:52:45,130,130,1,5,1581,0.04,1538
20,20,11,Move Tabulist,2006-11-26 23:56:23,80,80,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:23,80,90,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:24,80,100,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:24,80,110,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:24,80,120,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:24,90,80,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:24,90,90,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:24,90,100,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:24,90,110,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:24,90,120,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:24,100,80,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:24,100,90,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:25,100,100,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:25,100,110,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:25,100,120,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:25,110,80,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:25,110,90,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:25,110,100,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:25,110,110,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:25,110,120,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:25,120,80,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:25,120,90,1,1,1875,0.00,1723
20,20,11,Move Tabulist,2006-11-26 23:56:26,120,100,1,1,1875,0.00,1723
