offlines,tasks,repeat,tag,date,tabus,counts,resets,distance,cmax,time
0,100,10,sort i asp,2006-11-21 08:47:15,0,0,1,1,7546,0.09
0,100,10,sort i asp,2006-11-21 09:40:51,5,50,1,1,7546,0.11
0,100,10,sort i asp,2006-11-21 09:40:51,5,100,1,1,7520,0.14
0,100,10,sort i asp,2006-11-21 09:40:51,5,200,1,1,7520,0.17
0,100,10,sort i asp,2006-11-21 09:40:52,15,50,1,1,7518,0.24
0,100,10,sort i asp,2006-11-21 09:40:52,15,100,1,1,7467,0.32
0,100,10,sort i asp,2006-11-21 09:40:52,15,200,1,1,7467,0.37
0,100,10,sort i asp,2006-11-21 09:40:53,25,50,1,1,7480,0.23
0,100,10,sort i asp,2006-11-21 09:40:53,25,100,1,1,7480,0.30
0,100,10,sort i asp,2006-11-21 09:40:54,25,200,1,1,7402,0.95
0,100,10,sort i asp,2006-11-21 09:40:54,50,50,1,1,7480,0.28
0,100,10,sort i asp,2006-11-21 09:40:56,50,100,1,1,7194,1.10
0,100,10,sort i asp,2006-11-21 09:40:57,50,200,1,1,7194,1.31
0,100,11,sort i asp,2006-11-21 08:47:15,0,0,1,1,7546,0.09
0,100,11,sort i asp,2006-11-21 09:40:57,5,50,1,1,7546,0.11
0,100,11,sort i asp,2006-11-21 09:40:57,5,100,1,1,7520,0.20
0,100,11,sort i asp,2006-11-21 09:40:58,5,200,1,1,7520,0.16
0,100,11,sort i asp,2006-11-21 09:40:58,15,50,1,1,7518,0.19
0,100,11,sort i asp,2006-11-21 09:40:58,15,100,1,1,7467,0.31
0,100,11,sort i asp,2006-11-21 09:40:59,15,200,1,1,7467,0.37
0,100,11,sort i asp,2006-11-21 09:40:59,25,50,1,1,7480,0.26
0,100,11,sort i asp,2006-11-21 09:40:59,25,100,1,1,7480,0.28
0,100,11,sort i asp,2006-11-21 09:41:00,25,200,1,1,7402,0.92
0,100,11,sort i asp,2006-11-21 09:41:01,50,50,1,1,7480,0.27
0,100,11,sort i asp,2006-11-21 09:41:02,50,100,1,1,7194,1.09
0,100,11,sort i asp,2006-11-21 09:41:03,50,200,1,1,7194,1.30
0,100,12,sort i asp,2006-11-21 08:47:15,0,0,1,1,7546,0.17
0,100,12,sort i asp,2006-11-21 09:41:03,5,50,1,1,7546,0.16
0,100,12,sort i asp,2006-11-21 09:41:04,5,100,1,1,7520,0.14
0,100,12,sort i asp,2006-11-21 09:41:04,5,200,1,1,7520,0.15
0,100,12,sort i asp,2006-11-21 09:41:04,15,50,1,1,7518,0.15
0,100,12,sort i asp,2006-11-21 09:41:04,15,100,1,1,7467,0.34
0,100,12,sort i asp,2006-11-21 09:41:05,15,200,1,1,7467,0.39
0,100,12,sort i asp,2006-11-21 09:41:05,25,50,1,1,7480,0.26
0,100,12,sort i asp,2006-11-21 09:41:06,25,100,1,1,7480,0.33
0,100,12,sort i asp,2006-11-21 09:41:07,25,200,1,1,7402,0.90
0,100,12,sort i asp,2006-11-21 09:41:07,50,50,1,1,7480,0.30
0,100,12,sort i asp,2006-11-21 09:41:08,50,100,1,1,7194,1.10
0,100,12,sort i asp,2006-11-21 09:41:09,50,200,1,1,7194,1.34
0,100,13,sort i asp,2006-11-21 08:47:15,0,0,1,1,7546,0.09
0,100,13,sort i asp,2006-11-21 09:41:10,5,50,1,1,7546,0.11
0,100,13,sort i asp,2006-11-21 09:41:10,5,100,1,1,7520,0.15
0,100,13,sort i asp,2006-11-21 09:41:10,5,200,1,1,7520,0.17
0,100,13,sort i asp,2006-11-21 09:41:10,15,50,1,1,7518,0.24
0,100,13,sort i asp,2006-11-21 09:41:11,15,100,1,1,7467,0.31
0,100,13,sort i asp,2006-11-21 09:41:11,15,200,1,1,7467,0.36
0,100,13,sort i asp,2006-11-21 09:41:11,25,50,1,1,7480,0.28
0,100,13,sort i asp,2006-11-21 09:41:12,25,100,1,1,7480,0.29
0,100,13,sort i asp,2006-11-21 09:41:13,25,200,1,1,7402,0.88
0,100,13,sort i asp,2006-11-21 09:41:13,50,50,1,1,7480,0.28
0,100,13,sort i asp,2006-11-21 09:41:14,50,100,1,1,7194,1.15
0,100,13,sort i asp,2006-11-21 09:41:16,50,200,1,1,7194,1.32
0,100,14,sort i asp,2006-11-21 08:47:15,0,0,1,1,7546,0.15
0,100,14,sort i asp,2006-11-21 09:41:16,5,50,1,1,7546,0.12
0,100,14,sort i asp,2006-11-21 09:41:16,5,100,1,1,7520,0.15
0,100,14,sort i asp,2006-11-21 09:41:16,5,200,1,1,7520,0.17
0,100,14,sort i asp,2006-11-21 09:41:17,15,50,1,1,7518,0.24
0,100,14,sort i asp,2006-11-21 09:41:17,15,100,1,1,7467,0.32
0,100,14,sort i asp,2006-11-21 09:41:17,15,200,1,1,7467,0.37
0,100,14,sort i asp,2006-11-21 09:41:18,25,50,1,1,7480,0.23
0,100,14,sort i asp,2006-11-21 09:41:18,25,100,1,1,7480,0.29
0,100,14,sort i asp,2006-11-21 09:41:19,25,200,1,1,7402,0.88
0,100,14,sort i asp,2006-11-21 09:41:19,50,50,1,1,7480,0.29
0,100,14,sort i asp,2006-11-21 09:41:21,50,100,1,1,7194,1.14
0,100,14,sort i asp,2006-11-21 09:41:22,50,200,1,1,7194,1.33
0,100,15,sort i asp,2006-11-21 08:47:16,0,0,1,1,7546,0.10
0,100,15,sort i asp,2006-11-21 09:41:22,5,50,1,1,7546,0.12
0,100,15,sort i asp,2006-11-21 09:41:22,5,100,1,1,7520,0.15
0,100,15,sort i asp,2006-11-21 09:41:23,5,200,1,1,7520,0.22
0,100,15,sort i asp,2006-11-21 09:41:23,15,50,1,1,7518,0.18
0,100,15,sort i asp,2006-11-21 09:41:23,15,100,1,1,7467,0.31
0,100,15,sort i asp,2006-11-21 09:41:24,15,200,1,1,7467,0.37
0,100,15,sort i asp,2006-11-21 09:41:24,25,50,1,1,7480,0.24
0,100,15,sort i asp,2006-11-21 09:41:24,25,100,1,1,7480,0.29
0,100,15,sort i asp,2006-11-21 09:41:25,25,200,1,1,7402,0.95
0,100,15,sort i asp,2006-11-21 09:41:26,50,50,1,1,7480,0.29
0,100,15,sort i asp,2006-11-21 09:41:27,50,100,1,1,7194,1.10
0,100,15,sort i asp,2006-11-21 09:41:28,50,200,1,1,7194,1.33
0,100,1,sort i asp,2006-11-21 08:47:14,0,0,1,1,7546,0.10
0,100,1,sort i asp,2006-11-21 09:40:45,5,50,1,1,7546,0.13
0,100,1,sort i asp,2006-11-21 09:40:45,5,100,1,1,7520,0.15
0,100,1,sort i asp,2006-11-21 09:40:45,5,200,1,1,7520,0.18
0,100,1,sort i asp,2006-11-21 09:40:45,15,50,1,1,7518,0.18
0,100,1,sort i asp,2006-11-21 09:40:46,15,100,1,1,7467,0.37
0,100,1,sort i asp,2006-11-21 09:40:46,15,200,1,1,7467,0.38
0,100,1,sort i asp,2006-11-21 09:40:46,25,50,1,1,7480,0.23
0,100,1,sort i asp,2006-11-21 09:40:47,25,100,1,1,7480,0.29
0,100,1,sort i asp,2006-11-21 09:40:48,25,200,1,1,7402,0.91
0,100,1,sort i asp,2006-11-21 09:40:48,50,50,1,1,7480,0.29
0,100,1,sort i asp,2006-11-21 09:40:49,50,100,1,1,7194,1.14
0,100,1,sort i asp,2006-11-21 09:40:51,50,200,1,1,7194,1.31
0,100,2,sort i asp,2006-11-21 08:47:16,0,0,1,1,7546,0.13
0,100,2,sort i asp,2006-11-21 09:41:28,5,50,1,1,7546,0.11
0,100,2,sort i asp,2006-11-21 09:41:29,5,100,1,1,7520,0.15
0,100,2,sort i asp,2006-11-21 09:41:29,5,200,1,1,7520,0.17
0,100,2,sort i asp,2006-11-21 09:41:29,15,50,1,1,7518,0.18
0,100,2,sort i asp,2006-11-21 09:41:30,15,100,1,1,7467,0.31
0,100,2,sort i asp,2006-11-21 09:41:30,15,200,1,1,7467,0.37
0,100,2,sort i asp,2006-11-21 09:41:30,25,50,1,1,7480,0.23
