tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time,cmax_min
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:47,30,500,1,1,4412,0.17,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:47,30,500,1,2,4287,0.49,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:48,30,500,1,3,4248,0.82,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:50,30,500,1,4,4370,1.16,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:51,30,500,1,5,4256,1.40,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:53,30,500,1,6,4249,1.75,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:55,30,500,1,7,4257,2.01,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:23:58,30,500,1,8,4211,2.32,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:00,30,500,1,9,4276,2.60,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:03,30,500,1,10,4206,2.91,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:07,30,500,1,11,4231,3.08,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:10,30,500,1,12,4156,3.43,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:14,30,500,1,13,4204,3.66,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:18,30,500,1,14,4125,3.93,4089
50,10,10,MoveIndex-DoubleBlock,2006-11-28 13:24:22,30,500,1,15,4189,4.15,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:29,30,500,1,1,4412,0.16,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:29,30,500,1,3,4390,0.44,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:30,30,500,1,5,4297,0.79,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:31,30,500,1,7,4157,1.08,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:33,30,500,1,9,4261,1.39,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:34,30,500,1,11,4184,1.64,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:36,30,500,1,13,4153,1.88,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:39,30,500,1,15,4135,2.21,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:41,30,500,1,17,4134,2.41,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:44,30,500,1,19,4120,2.64,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:47,30,500,1,21,4132,2.87,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:50,30,500,1,23,4089,2.98,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:53,30,500,1,25,4136,3.17,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:35:57,30,500,1,27,4099,3.32,4089
50,10,10,SwapIndex-DoubleBlock,2006-11-28 13:36:01,30,500,1,29,4126,3.54,4089
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:23,30,500,1,1,4233,0.15,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:23,30,500,1,2,4145,0.48,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:24,30,500,1,3,4073,0.81,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:25,30,500,1,4,3971,1.12,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:27,30,500,1,5,3929,1.46,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:29,30,500,1,6,3952,1.77,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:31,30,500,1,7,3977,2.07,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:33,30,500,1,8,4020,2.30,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:36,30,500,1,9,3915,2.65,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:39,30,500,1,10,3922,2.90,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:42,30,500,1,11,3866,3.16,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:46,30,500,1,12,3851,3.46,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:50,30,500,1,13,3894,3.63,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:54,30,500,1,14,3986,3.90,3833
50,10,11,MoveIndex-DoubleBlock,2006-11-28 13:24:58,30,500,1,15,3869,4.18,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:01,30,500,1,1,4233,0.13,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:01,30,500,1,3,4118,0.48,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:02,30,500,1,5,4112,0.74,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:03,30,500,1,7,3974,1.06,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:05,30,500,1,9,4019,1.29,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:07,30,500,1,11,3881,1.50,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:09,30,500,1,13,3900,1.82,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:11,30,500,1,15,3906,2.08,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:13,30,500,1,17,3876,2.26,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:16,30,500,1,19,3904,2.50,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:19,30,500,1,21,3868,2.73,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:22,30,500,1,23,3833,2.94,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:25,30,500,1,25,3855,3.09,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:28,30,500,1,27,3842,3.28,3833
50,10,11,SwapIndex-DoubleBlock,2006-11-28 13:36:32,30,500,1,29,3847,3.40,3833
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:24:58,30,500,1,1,4187,0.16,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:24:59,30,500,1,2,4187,0.48,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:00,30,500,1,3,4082,0.81,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:01,30,500,1,4,4040,1.09,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:03,30,500,1,5,3973,1.54,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:05,30,500,1,6,4030,1.76,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:07,30,500,1,7,4043,2.00,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:09,30,500,1,8,4021,2.26,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:12,30,500,1,9,4030,2.60,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:15,30,500,1,10,3943,2.84,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:18,30,500,1,11,4018,3.12,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:22,30,500,1,12,3955,3.32,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:25,30,500,1,13,3983,3.62,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:29,30,500,1,14,4057,3.77,3852
50,10,12,MoveIndex-DoubleBlock,2006-11-28 13:25:33,30,500,1,15,4009,4.12,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:32,30,500,1,1,4187,0.16,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:33,30,500,1,3,4126,0.50,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:34,30,500,1,5,4080,0.75,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:35,30,500,1,7,4140,1.00,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:36,30,500,1,9,3995,1.29,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:38,30,500,1,11,3992,1.64,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:40,30,500,1,13,4037,1.88,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:42,30,500,1,15,3885,2.13,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:45,30,500,1,17,3932,2.39,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:47,30,500,1,19,3929,2.54,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:50,30,500,1,21,3879,2.84,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:53,30,500,1,23,3921,2.94,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:36:56,30,500,1,25,3861,3.17,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:37:00,30,500,1,27,3906,3.38,3852
50,10,12,SwapIndex-DoubleBlock,2006-11-28 13:37:04,30,500,1,29,3852,3.45,3852
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:34,30,500,1,1,4257,0.15,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:34,30,500,1,2,4179,0.47,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:35,30,500,1,3,4188,0.78,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:36,30,500,1,4,4164,1.08,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:38,30,500,1,5,4159,1.41,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:40,30,500,1,6,4150,1.70,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:42,30,500,1,7,4149,2.00,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:44,30,500,1,8,4154,2.26,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:47,30,500,1,9,4148,2.53,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:50,30,500,1,10,4150,2.81,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:53,30,500,1,11,4145,3.05,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:25:56,30,500,1,12,4157,3.35,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:26:00,30,500,1,13,4138,3.52,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:26:04,30,500,1,14,4158,3.78,4116
50,10,13,MoveIndex-DoubleBlock,2006-11-28 13:26:08,30,500,1,15,4180,3.97,4116
50,10,13,SwapIndex-DoubleBlock,2006-11-28 13:37:04,30,500,1,1,4257,0.10,4116
50,10,13,SwapIndex-DoubleBlock,2006-11-28 13:37:04,30,500,1,3,4191,0.47,4116
50,10,13,SwapIndex-DoubleBlock,2006-11-28 13:37:05,30,500,1,5,4167,0.76,4116
50,10,13,SwapIndex-DoubleBlock,2006-11-28 13:37:06,30,500,1,7,4167,1.02,4116
50,10,13,SwapIndex-DoubleBlock,2006-11-28 13:37:08,30,500,1,9,4141,1.30,4116
50,10,13,SwapIndex-DoubleBlock,2006-11-28 13:37:10,30,500,1,11,4119,1.60,4116
50,10,13,SwapIndex-DoubleBlock,2006-11-28 13:37:11,30,500,1,13,4129,1.85,4116
50,10,13,SwapIndex-DoubleBlock,2006-11-28 13:37:14,30,500,1,15,4121,2.07,4116
50,10,13,SwapIndex-DoubleBlock,2006-11-28 13:37:16,30,500,1,17,4118,2.33,4116
