tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time,cmax_min
50,10,10,Move Tabulist,2006-11-27 10:35:28,0,0,1,1,4538,0.00,4080
50,10,10,Move Tabulist,2006-11-27 10:35:28,0,20,1,1,4538,0.00,4080
50,10,10,Move Tabulist,2006-11-27 10:35:28,0,40,1,1,4538,0.01,4080
50,10,10,Move Tabulist,2006-11-27 10:35:28,0,60,1,1,4538,0.01,4080
50,10,10,Move Tabulist,2006-11-27 10:35:29,0,80,1,1,4538,0.02,4080
50,10,10,Move Tabulist,2006-11-27 10:35:29,0,100,1,1,4538,0.02,4080
50,10,10,Move Tabulist,2006-11-27 10:35:29,0,120,1,1,4538,0.03,4080
50,10,10,Move Tabulist,2006-11-27 10:35:29,0,140,1,1,4538,0.04,4080
50,10,10,Move Tabulist,2006-11-27 10:35:29,0,160,1,1,4538,0.03,4080
50,10,10,Move Tabulist,2006-11-27 10:35:29,0,180,1,1,4538,0.04,4080
50,10,10,Move Tabulist,2006-11-27 10:35:29,0,200,1,1,4538,0.04,4080
50,10,10,Move Tabulist,2006-11-27 10:35:30,20,0,1,1,4538,0.00,4080
50,10,10,Move Tabulist,2006-11-27 10:35:30,20,20,1,1,4520,0.01,4080
50,10,10,Move Tabulist,2006-11-27 10:35:30,20,40,1,1,4520,0.01,4080
50,10,10,Move Tabulist,2006-11-27 10:35:30,20,60,1,1,4467,0.02,4080
50,10,10,Move Tabulist,2006-11-27 10:35:30,20,80,1,1,4442,0.02,4080
50,10,10,Move Tabulist,2006-11-27 10:35:30,20,100,1,1,4442,0.03,4080
50,10,10,Move Tabulist,2006-11-27 10:35:30,20,120,1,1,4369,0.03,4080
50,10,10,Move Tabulist,2006-11-27 10:35:30,20,140,1,1,4316,0.04,4080
50,10,10,Move Tabulist,2006-11-27 10:35:31,20,160,1,1,4253,0.04,4080
50,10,10,Move Tabulist,2006-11-27 10:35:31,20,180,1,1,4212,0.04,4080
50,10,10,Move Tabulist,2006-11-27 10:35:31,20,200,1,1,4212,0.12,4080
50,10,10,Move Tabulist,2006-11-27 10:35:31,40,0,1,1,4538,0.00,4080
50,10,10,Move Tabulist,2006-11-27 10:35:31,40,20,1,1,4520,0.01,4080
50,10,10,Move Tabulist,2006-11-27 10:35:31,40,40,1,1,4365,0.01,4080
50,10,10,Move Tabulist,2006-11-27 10:35:31,40,60,1,1,4365,0.02,4080
50,10,10,Move Tabulist,2006-11-27 10:35:32,40,80,1,1,4365,0.02,4080
50,10,10,Move Tabulist,2006-11-27 10:35:32,40,100,1,1,4365,0.06,4080
50,10,10,Move Tabulist,2006-11-27 10:35:32,40,120,1,1,4365,0.03,4080
50,10,10,Move Tabulist,2006-11-27 10:35:32,40,140,1,1,4365,0.04,4080
50,10,10,Move Tabulist,2006-11-27 10:35:32,40,160,1,1,4347,0.04,4080
50,10,10,Move Tabulist,2006-11-27 10:35:32,40,180,1,1,4347,0.04,4080
50,10,10,Move Tabulist,2006-11-27 10:35:32,40,200,1,1,4347,0.05,4080
