offlines,tasks,repeat,tag,date,tabus,counts,resets,distance,cmax,time
0,50,10,sort i asp,2006-11-21 13:23:28,0,0,1,1,3922,0.01
0,50,10,sort i asp,2006-11-21 13:23:28,0,0,1,2,3805,0.07
0,50,10,sort i asp,2006-11-21 13:23:28,0,0,1,3,3765,0.10
0,50,10,sort i asp,2006-11-21 13:23:29,0,0,1,5,3745,0.24
0,50,10,sort i asp,2006-11-21 13:25:18,5,50,1,1,3922,0.02
0,50,10,sort i asp,2006-11-21 13:25:18,5,100,1,1,3922,0.02
0,50,10,sort i asp,2006-11-21 13:25:18,5,200,1,1,3922,0.02
0,50,10,sort i asp,2006-11-21 13:25:19,15,50,1,1,3922,0.02
0,50,10,sort i asp,2006-11-21 13:25:19,15,100,1,1,3922,0.02
0,50,10,sort i asp,2006-11-21 13:25:19,15,200,1,1,3922,0.04
0,50,10,sort i asp,2006-11-21 13:25:19,25,50,1,1,3922,0.02
0,50,10,sort i asp,2006-11-21 13:25:19,25,100,1,1,3922,0.04
0,50,10,sort i asp,2006-11-21 13:25:19,25,200,1,1,3888,0.09
0,50,10,sort i asp,2006-11-21 13:25:19,50,50,1,1,3922,0.04
0,50,10,sort i asp,2006-11-21 13:25:20,50,100,1,1,3922,0.05
0,50,10,sort i asp,2006-11-21 13:25:20,50,200,1,1,3922,0.10
0,50,10,sort i asp,2006-11-21 13:25:20,5,50,1,2,3796,0.10
0,50,10,sort i asp,2006-11-21 13:25:20,5,100,1,2,3796,0.12
0,50,10,sort i asp,2006-11-21 13:25:20,5,200,1,2,3784,0.21
0,50,10,sort i asp,2006-11-21 13:25:21,15,50,1,2,3793,0.18
0,50,10,sort i asp,2006-11-21 13:25:21,15,100,1,2,3781,0.36
0,50,10,sort i asp,2006-11-21 13:25:22,15,200,1,2,3781,0.52
0,50,10,sort i asp,2006-11-21 13:25:22,25,50,1,2,3775,0.27
0,50,10,sort i asp,2006-11-21 13:25:23,25,100,1,2,3775,0.36
0,50,10,sort i asp,2006-11-21 13:25:23,25,200,1,2,3775,0.53
0,50,10,sort i asp,2006-11-21 13:25:24,50,50,1,2,3775,0.39
0,50,10,sort i asp,2006-11-21 13:25:24,50,100,1,2,3775,0.53
0,50,10,sort i asp,2006-11-21 13:25:25,50,200,1,2,3775,0.84
0,50,10,sort i asp,2006-11-21 13:25:26,5,50,1,3,3741,0.22
0,50,10,sort i asp,2006-11-21 13:25:26,5,100,1,3,3741,0.25
0,50,10,sort i asp,2006-11-21 13:25:27,5,200,1,3,3728,0.77
0,50,10,sort i asp,2006-11-21 13:25:27,15,50,1,3,3738,0.39
0,50,10,sort i asp,2006-11-21 13:25:28,15,100,1,3,3722,0.83
0,50,10,sort i asp,2006-11-21 13:25:30,15,200,1,3,3722,1.07
0,50,10,sort i asp,2006-11-21 13:25:30,25,50,1,3,3738,0.54
0,50,10,sort i asp,2006-11-21 13:25:31,25,100,1,3,3738,0.72
0,50,10,sort i asp,2006-11-21 13:25:34,25,200,1,3,3706,3.16
0,50,10,sort i asp,2006-11-21 13:25:35,50,50,1,3,3738,0.71
0,50,10,sort i asp,2006-11-21 13:25:37,50,100,1,3,3738,1.12
0,50,10,sort i asp,2006-11-21 13:25:39,50,200,1,3,3738,2.11
0,50,10,sort i asp,2006-11-21 13:25:40,5,50,1,5,3719,0.60
0,50,10,sort i asp,2006-11-21 13:25:41,5,100,1,5,3700,1.25
0,50,10,sort i asp,2006-11-21 13:25:43,5,200,1,5,3700,1.51
0,50,10,sort i asp,2006-11-21 13:25:44,15,50,1,5,3703,1.33
0,50,10,sort i asp,2006-11-21 13:25:48,15,100,1,5,3652,4.04
0,50,10,sort i asp,2006-11-21 13:25:55,15,200,1,5,3647,6.61
0,50,10,sort i asp,2006-11-21 13:26:00,25,50,1,5,3651,4.81
0,50,10,sort i asp,2006-11-21 13:26:08,25,100,1,5,3636,7.50
0,50,10,sort i asp,2006-11-21 13:26:17,25,200,1,5,3636,9.18
